index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
0	main-captions	MSRvid	2012test	1	none	none	A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	4.5
1	main-captions	MSRvid	2012test	2	none	none	A group of children is playing in the house and there is no man standing in the background	A group of kids is playing in a yard and an old man is standing in the background	3.2
2	main-captions	MSRvid	2012test	3	none	none	The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	4.7
3	main-captions	MSRvid	2012test	5	none	none	The kids are playing outdoors near a man with a smile	A group of kids is playing in a yard and an old man is standing in the background	3.4
4	main-captions	MSRvid	2012test	9	none	none	The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	3.7
5	main-captions	MSRvid	2012test	12	none	none	Two dogs are fighting	Two dogs are wrestling and hugging	4.0
6	main-captions	MSRvid	2012test	14	none	none	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	3.5
7	main-captions	MSRvid	2012test	18	none	none	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	3.2
8	main-captions	MSRvid	2012test	25	none	none	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	2.8
9	main-captions	MSRvid	2012test	26	none	none	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	3.7
10	main-captions	MSRvid	2012test	28	none	none	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	3.4
11	main-captions	MSRvid	2012test	30	none	none	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	4.9
12	main-captions	MSRvid	2012test	35	none	none	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	3.6
13	main-captions	MSRvid	2012test	40	none	none	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	3.8
14	main-captions	MSRvid	2012test	42	none	none	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	3.4
15	main-captions	MSRvid	2012test	44	none	none	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	4.9
16	main-captions	MSRvid	2012test	45	none	none	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	3.9
17	main-captions	MSRvid	2012test	47	none	none	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	3.415
18	main-captions	MSRvid	2012test	49	none	none	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	3.7
19	main-captions	MSRvid	2012test	55	none	none	Three boys are jumping in the leaves	Three kids are jumping in the leaves	4.4
20	main-captions	MSRvid	2012test	56	none	none	Three kids are sitting in the leaves	Three kids are jumping in the leaves	3.8
21	main-captions	MSRvid	2012test	58	none	none	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	3.5
22	main-captions	MSRvid	2012test	62	none	none	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	4.0
23	main-captions	MSRvid	2012test	65	none	none	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	2.9
24	main-captions	MSRvid	2012test	70	none	none	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	4.1
25	main-captions	MSRvid	2012test	72	none	none	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	2.5
26	main-captions	MSRvid	2012test	73	none	none	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	4.2
27	main-captions	MSRvid	2012test	77	none	none	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	4.4
28	main-captions	MSRvid	2012test	78	none	none	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	3.2
29	main-captions	MSRvid	2012test	79	none	none	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	3.635
30	main-captions	MSRvid	2012test	81	none	none	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	2.4
31	main-captions	MSRvid	2012test	82	none	none	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	2.6
32	main-captions	MSRvid	2012test	83	none	none	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	2.2
33	main-captions	MSRvid	2012test	84	none	none	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	3.0
34	main-captions	MSRvid	2012test	85	none	none	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	2.0
35	main-captions	MSRvid	2012test	87	none	none	A lone biker is jumping in the air	A biker is jumping in the air, alone	5.0
36	main-captions	MSRvid	2012test	88	none	none	There is no biker jumping in the air	A lone biker is jumping in the air	4.2
37	main-captions	MSRvid	2012test	90	none	none	A man is jumping into an empty pool	A man is jumping into a full pool	3.0
38	main-captions	MSRvid	2012test	91	none	none	A man is jumping into an empty pool	The man's jumper is in the empty pool	3.1
39	main-captions	MSRvid	2012test	93	none	none	A lone biker is jumping in the air	A man is jumping into a full pool	1.7
40	main-captions	MSRvid	2012test	94	none	none	The man's jumper is in the empty pool	A lone biker is jumping in the air	1.4
41	main-captions	MSRvid	2012test	97	none	none	A lone biker is jumping in the air	A man is jumping into an empty pool	1.5
42	main-captions	MSRvid	2012test	98	none	none	Four kids are doing backbends in the park	Four children are doing backbends in the park	4.8
43	main-captions	MSRvid	2012test	99	none	none	Four children are doing backbends in the gym	Four children are doing backbends in the park	3.8
44	main-captions	MSRvid	2012test	100	none	none	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	4.1
45	main-captions	MSRvid	2012test	107	none	none	A man who is playing is running with the ball in his hands	A player is running with the ball	4.3
46	main-captions	MSRvid	2012test	112	none	none	Two groups of people are playing football	A player is running with the ball	2.1
47	main-captions	MSRvid	2012test	113	none	none	Two teams are competing in a baseball game	A player is running with the ball	3.0
48	main-captions	MSRvid	2012test	117	none	none	A player is running with the ball	Two teams are competing in a football match	2.6
49	main-captions	MSRvid	2012test	120	none	none	Five wooden stands are in front of each child's hut	Five children are standing in front of a wooden hut	3.2
50	main-captions	MSRvid	2012test	122	none	none	Five kids are standing close together and one kid has a gun	Five kids are standing close together and none of the kids has a gun	3.7
51	main-captions	MSRvid	2012test	124	none	none	Five kids are standing close together and none of the kids has a gun	Five children are standing in front of a wooden hut	2.6
52	main-captions	MSRvid	2012test	126	none	none	Five children are standing in a wooden hut	Five kids are standing close together and one kid has a gun	2.7
53	main-captions	MSRvid	2012test	127	none	none	Five wooden stands are in front of each child's hut	Five kids are standing close together and one kid has a gun	2.3
54	main-captions	MSRvid	2012test	129	none	none	An old man is sitting in a field	A man is sitting in a field	4.4
55	main-captions	MSRvid	2012test	130	none	none	A man is sitting in a field	A man is running in a field	2.6
56	main-captions	MSRvid	2012test	131	none	none	A person is wearing a hat and is sitting on the grass	A person is sitting in a field and is wearing a hat	4.1
57	main-captions	MSRvid	2012test	133	none	none	A person is sitting and wearing a grass hat	A person is wearing a hat and is sitting on the grass	3.4
58	main-captions	MSRvid	2012test	136	none	none	A person is sitting and wearing a grass hat	A man is sitting in a field	3.3
59	main-captions	MSRvid	2012test	139	none	none	A man is sitting in a field	A person is wearing a hat and is sitting on the grass	3.8
60	main-captions	MSRvid	2012test	140	none	none	The current is being ridden by a group of friends in a raft	A group of friends are riding the current in a raft	4.9
61	main-captions	MSRvid	2012test	141	none	none	A group of friends are riding the current in a raft	A group is not riding the current in a raft	3.7
62	main-captions	MSRvid	2012test	146	none	none	The current is being ridden by a group of friends in a raft	This group of people is practicing water safety and wearing preservers	3.2
63	main-captions	MSRvid	2012test	148	none	none	A group of friends are riding the current in a raft	This group of people is practicing water safety and wearing preservers	3.1
64	main-captions	MSRvid	2012test	150	none	none	A deer is jumping over a fence	A deer isn't jumping over the fence	3.9
65	main-captions	MSRvid	2012test	159	none	none	People are walking inside a building that has many murals on it	People are walking outside a building that has many murals on it	3.4
66	main-captions	MSRvid	2012test	161	none	none	Several people are in front of a colorful building	Nobody is in front of the colorful building	3.5
67	main-captions	MSRvid	2012test	163	none	none	People are walking outside a building that has many murals on it	Nobody is in front of the colorful building	3.6
68	main-captions	MSRvid	2012test	164	none	none	People are walking outside the building that has several murals on it	Several people are in front of a colorful building	3.6
69	main-captions	MSRvid	2012test	170	none	none	A family is watching a little boy who is hitting a baseball	A family is watching a little boy who is missing a baseball	3.9
70	main-captions	MSRvid	2012test	173	none	none	A child is hitting a baseball	A family is watching a little boy who is missing a baseball	3.015
71	main-captions	MSRvid	2012test	176	none	none	A child is missing a baseball	A family is watching a little boy who is hitting a baseball	2.7
72	main-captions	MSRvid	2012test	183	none	none	A purple crowd of people is eating on various red lit restaurant tables	Various people are eating at red tables in a crowded restaurant with purple lights	3.3
73	main-captions	MSRvid	2012test	184	none	none	A large group of Asian people is eating at a restaurant	Various customers are eating in a crowded restaurant with purple lights	2.9
74	main-captions	MSRvid	2012test	186	none	none	A purple crowd of people is eating on various red lit restaurant tables	A large group of Asian people is eating at a restaurant	3.1
75	main-captions	MSRvid	2012test	188	none	none	Various people are eating at red tables in a crowded restaurant with purple lights	A small group of people is waiting to eat in a restaurant	3.2
76	main-captions	MSRvid	2012test	192	none	none	A motorcycle rider is standing up on the seat of a white motorcycle	No motorcycle rider is standing up on the seat of a motorcycle	3.8
77	main-captions	MSRvid	2012test	194	none	none	Nobody is on a motorcycle and is standing on the seat	Someone is on a black and white motorcycle and is standing on the seat	3.7
78	main-captions	MSRvid	2012test	200	none	none	A motorcyclist is riding a motorbike dangerously along a roadway	A motorcyclist is riding a motorbike along a roadway	4.6
79	main-captions	MSRvid	2012test	201	none	none	There is no motorcyclist riding a motorbike along a roadway	A motorcyclist is riding a motorbike along a roadway	3.7
80	main-captions	MSRvid	2012test	202	none	none	A man with a helmet painted red is riding a blue motorcycle down the road	A motorcyclist with a red helmet is riding a blue motorcycle down the road	4.8
81	main-captions	MSRvid	2012test	205	none	none	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	A motorcyclist is riding a motorbike along a roadway	3.3
82	main-captions	MSRvid	2012test	215	none	none	Two dogs are playing by a tree	A dog is catching a stick in the air and another is watching	3.7
83	main-captions	MSRvid	2012test	216	none	none	Two dogs are playing by a tree	There is no dog leaping in the air	2.7
84	main-captions	MSRvid	2012test	217	none	none	Two dogs are playing by a tree	A dog is leaping high in the air and another is watching	3.0
85	main-captions	MSRvid	2012test	223	none	none	A girl in white is dancing	The dancer is dancing in front of the sound equipment	4.0
86	main-captions	MSRvid	2012test	224	none	none	A girl in white is dancing	The blond girl is dancing behind the sound equipment	3.3
87	main-captions	MSRvid	2012test	226	none	none	A girl is wearing white clothes and is dancing	The blond girl is dancing in front of the sound equipment	3.5
88	main-captions	MSRvid	2012test	227	none	none	The blond girl is dancing in front of the sound equipment	There is no girl in white dancing	3.3
89	main-captions	MSRvid	2012test	232	none	none	Three Asian kids are dancing and a man is looking	Three Asian kids are dancing and there is no man looking	3.9
90	main-captions	MSRvid	2012test	233	none	none	Three Asian kids are dancing and a man is looking	An Asian man is dancing and three kids are looking	3.7
91	main-captions	MSRvid	2012test	234	none	none	The children of a family are playing and waiting	Three Asian kids are dancing and a serious man is looking	1.9
92	main-captions	MSRvid	2012test	237	none	none	The children of a family are patiently playing and waiting	Three Asian kids are dancing and a man is looking	2.3
93	main-captions	MSRvid	2012test	238	none	none	There are no children playing and waiting	Three Asian kids are dancing and a man is looking	1.6
94	main-captions	MSRvid	2012test	240	none	none	A woman is wearing an Egyptian hat on her head	A woman is wearing an Egyptian headdress	4.3
95	main-captions	MSRvid	2012test	241	none	none	A woman is wearing an Egyptian headdress	A woman is wearing an Indian headdress	4.0
96	main-captions	MSRvid	2012test	248	none	none	The black woman is wearing glasses over the headdress	A woman is wearing an Egyptian headdress	3.6
97	main-captions	MSRvid	2012test	249	none	none	A woman is wearing an Egyptian hat on her head	The woman is wearing glasses and a black headdress	2.5
98	main-captions	MSRvid	2012test	254	none	none	A hiker is on top of the mountain and is dancing	There is no hiker dancing on top of the mountain	3.2
99	main-captions	MSRvid	2012test	256	none	none	There is no man on a rock high above some trees standing in a strange position	A man is on a rock high above some trees and is standing in a strange position	4.3
100	main-captions	MSRvid	2012test	257	none	none	A hiker is on top of the mountain and is dancing	A man is on a rock high above some trees and is standing in an uncomfortable position	2.5
101	main-captions	MSRvid	2012test	258	none	none	A hiker is on top of the mountain and is dancing	There is no man on a rock high above some trees standing in a strange position	2.5
102	main-captions	MSRvid	2012test	259	none	none	A man is on a rock high above some trees and is standing in a strange position	A hiker is on top of the mountain and is doing a joyful dance	2.9
103	main-captions	MSRvid	2012test	260	none	none	There is no hiker dancing on top of the mountain	A man is on a rock high above some trees and is standing in a strange position	2.4
104	main-captions	MSRvid	2012test	265	none	none	The brown horse is very near a red barrel at the rodeo	The brown horse is near a red barrel at the rodeo	4.8
105	main-captions	MSRvid	2012test	266	none	none	The brown horse is near a red barrel at the rodeo	The brown horse is far from a red barrel at the rodeo	3.6
106	main-captions	MSRvid	2012test	269	none	none	A cowgirl is riding a brown horse and is cornering a barrel	The brown horse is near a red barrel at the rodeo	3.2
107	main-captions	MSRvid	2012test	272	none	none	A cowgirl is riding a horse and corners a barrel	The brown horse is near a red barrel at the rodeo	3.8
108	main-captions	MSRvid	2012test	273	none	none	A boy is standing in the cold water	A boy is standing in the water	4.1
109	main-captions	MSRvid	2012test	276	none	none	The boy is sitting near the blue ocean	The boy is wading through the blue ocean	3.2
110	main-captions	MSRvid	2012test	277	none	none	A boy is standing in the water	The kid is swimming through the blue ocean	3.0
111	main-captions	MSRvid	2012test	279	none	none	The boy is wading through the blue ocean	A boy is standing in the cold water	3.3
112	main-captions	MSRvid	2012test	283	none	none	A man is playing a guitar on stage	There is no man playing a guitar on stage	3.6
113	main-captions	MSRvid	2012test	286	none	none	A man is playing a guitar on stage	A guitarist has blonde and flyaway hair	3.0
114	main-captions	MSRvid	2012test	287	none	none	A man is playing a guitar on stage	A bald person is playing a guitar	3.8
115	main-captions	MSRvid	2012test	289	none	none	There is no man playing a guitar on stage	A person has blonde and flyaway hair and is playing a guitar	3.4
116	main-captions	MSRvid	2012test	291	none	none	Several children are sitting down and have their knees raised	Several children are lying down and are raising their knees	4.0
117	main-captions	MSRvid	2012test	293	none	none	Two young girls are sitting on the ground	Two girls are sitting on the ground	4.4
118	main-captions	MSRvid	2012test	296	none	none	Two girls are lying on the ground	Several children are sitting down and have their knees raised	2.8
119	main-captions	MSRvid	2012test	301	none	none	A nude lady is walking in front of a crowd in body paint	There is no lady walking in body paint in front of a crowd 	2.9
120	main-captions	MSRvid	2012test	302	none	none	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	3.1
121	main-captions	MSRvid	2012test	303	none	none	A young, topless woman is covered in paint	A topless girl is covered in paint	4.4
122	main-captions	MSRvid	2012test	305	none	none	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint	3.8
123	main-captions	MSRvid	2012test	309	none	none	A nude crowd in body paint is walking in front of a lady 	A young, topless woman is covered in paint	3.0
124	main-captions	MSRvid	2012test	310	none	none	A nude lady is walking in front of a crowd in body paint	A young, topless woman is covered in paint	4.2
125	main-captions	MSRvid	2012test	311	none	none	A group of people is near the ocean	A crowd of people is near the water	4.3
126	main-captions	MSRvid	2012test	312	none	none	A crowd of people is near the water	A crowd of people is far from the water	3.8
127	main-captions	MSRvid	2012test	313	none	none	A group of children in uniforms is standing at a gate and one is kissing the mother	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	4.5
128	main-captions	MSRvid	2012test	315	none	none	A group of mothers in uniforms is standing near the children and one is kissing the gate	A group of children in uniforms is standing at a gate and one is kissing the mother	3.3
129	main-captions	MSRvid	2012test	323	none	none	A man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a friend	3.9
130	main-captions	MSRvid	2012test	327	none	none	A man is in a parking lot and is playing tennis against a large wall	There is no man pointing at a car	1.5
131	main-captions	MSRvid	2012test	329	none	none	A man is in a parking lot and is playing tennis against a friend	A man is pointing at a silver sedan	1.3
132	main-captions	MSRvid	2012test	331	none	none	A group of people is on a beach	A group of people is near the sea	4.0
133	main-captions	MSRvid	2012test	332	none	none	A group of people is on a beach	A group of people is on a mountain	2.6
134	main-captions	MSRvid	2012test	333	none	none	A man, a woman and two girls are walking on the beach	Four people are walking on the beach	4.5
135	main-captions	MSRvid	2012test	335	none	none	A group of people is on a beach	Four people are walking on the beach	4.6
136	main-captions	MSRvid	2012test	338	none	none	A man, a woman and two girls are walking on the beach	A group of people is on a mountain	1.4
137	main-captions	MSRvid	2012test	339	none	none	A man, a woman and two girls are walking on the beach	A group of people is on a beach	4.3
138	main-captions	MSRvid	2012test	340	none	none	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train	4.7
139	main-captions	MSRvid	2012test	341	none	none	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	3.7
140	main-captions	MSRvid	2012test	342	none	none	A girl with a black bag is on a crowded train	A cramped black train is on the bag of a girl	2.7
141	main-captions	MSRvid	2012test	344	none	none	An Asian woman in a crowd is not carrying a black bag	An Asian woman in a crowd is carrying a black bag	3.8
142	main-captions	MSRvid	2012test	346	none	none	A girl with a black bag is on a crowded train	An Asian woman in a crowd is not carrying a black bag	2.5
143	main-captions	MSRvid	2012test	347	none	none	A schoolgirl with a black bag is on a crowded train	An Asian woman in a crowd is carrying a black bag	2.8
144	main-captions	MSRvid	2012test	351	none	none	A dog is chasing another and is holding a stick in its mouth	A dog is chasing another and is holding a piece of wood in its mouth	4.6
